Unnamed: 0,address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode,location,latitude,longitude,tenure,to_nearest_station,to_nearest_school,tax_band
204,"Florence Road, BIRMINGHAM, West Midlands, B27",240000,Terraced,3,1,"Dixons, Acocks Green",https://www.rightmove.co.uk/properties/153889991#/?channel=RES_BUY,True,False,False,B27,"Florence Road, Acocks Green, Tyseley, Birmingham, West Midlands, England, B27 6LG, United Kingdom",52.4531993,-1.817558,Ask agent,0.3 miles,0.1 miles,Band: TBC
291,"Hilton Avenue, Birmingham",350000,Semi-Detached,3,2,"Shipways, Shirley",https://www.rightmove.co.uk/properties/152642933#/?channel=RES_BUY,True,True,False,,"Hilton Avenue, Billesley, Yardley Wood, Birmingham, West Midlands, England, B28 0PE, United Kingdom",52.4163093,-1.8467894,Freehold,0.5 miles,0.1 miles,Band: C
714,"Yardley Wood Road, Moseley, Birmingham, B13",129500,Apartment,1,1,"Robert Oulsnam & Company, Moseley",https://www.rightmove.co.uk/properties/154365518#/?channel=RES_BUY,False,True,False,B13,"Yardley Wood Road, Springfield, Wake Green, Birmingham, West Midlands, England, B13 9LB, United Kingdom",52.438007,-1.8709076,Leasehold,1.2 miles,0.3 miles,Band: TBC
361,"Miall Road, B28",365000,Semi-Detached,3,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/153449534#/?channel=RES_BUY,True,True,False,B28,"Miall Road, Hall Green, Birmingham, West Midlands, England, B28 9BP, United Kingdom",52.432473,-1.8372659,Freehold,0.4 miles,0.3 miles,Band: C
570,"Stratford Road, Shirley, Solihull",485000,Detached,4,2,"DM & Co. Land & New Homes, Solihull",https://www.rightmove.co.uk/properties/144413441#/?channel=RES_BUY,True,True,True,,"Stratford Road, Shirley, Solihull, West Midlands, England, B90 4BS, United Kingdom",52.3974792,-1.8185877,Freehold,1.0 miles,0.1 miles,Band: TBC
526,"Shirley Road, Hall Green, Birmingham, B28 9JR",470000,Semi-Detached,5,3,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/143326661#/?channel=RES_BUY,True,True,False,B28 9JR,"Shirley Road, Hall Green, Birmingham, West Midlands, England, B28 9JR, United Kingdom",52.4263621,-1.8365478,Freehold,0.8 miles,0.1 miles,Band: D
302,"James Court, Wake Green Park",100000,Flat,1,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/153012953#/?channel=RES_BUY,False,True,False,,"James Court, Wake Green Park, Springfield, Wake Green, Birmingham, West Midlands, England, B13 9XY, United Kingdom",52.44402725,-1.8716949985933289,Leasehold,1.3 miles,0.5 miles,Band: A
578,"Streetsbrook Road, Shirley, Solihull, West Midlands, B90",550000,Detached,4,2,"John Shepherd, Solihull",https://www.rightmove.co.uk/properties/153612203#/?channel=RES_BUY,True,True,False,B90,"Streetsbrook Road, Shirley, Solihull, West Midlands, England, B90 3PD, United Kingdom",52.4223289,-1.8253451,Freehold,1.2 miles,0.3 miles,Band: E
181,"Eaton Road, Birmingham, West Midlands, B11",350000,Semi-Detached,4,2,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/152486381#/?channel=RES_BUY,True,True,False,B11,"Eaton Road, Springfield, Tyseley, Birmingham, West Midlands, England, B11 3JP, United Kingdom",52.4487554,-1.8449118,Freehold,0.4 miles,0.1 miles,Band: C
223,"Geoffrey Road, Birmingham, West Midlands, B11",260000,Terraced,3,1,"Dixons, Moseley",https://www.rightmove.co.uk/properties/153908018#/?channel=RES_BUY,True,True,False,B11,"Geoffrey Road, Springfield, Wake Green, Birmingham, West Midlands, England, B11 4HU, United Kingdom",52.4459991,-1.8673845,Freehold,1.1 miles,0.3 miles,Band: A
482,"School Road, B90",310000,Semi-Detached,3,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/153839528#/?channel=RES_BUY,True,True,False,B90,"School Road, Shirley, Solihull, West Midlands, England, B90 2AX, United Kingdom",52.4058975,-1.826055,Freehold,0.9 miles,0.1 miles,
656,"Warwick Road, Solihull, B92",125000,Apartment,1,1,"Ferndown Estates, Marston Green",https://www.rightmove.co.uk/properties/148649465#/?channel=RES_BUY,False,True,False,B92,"Warwick Road, Olton, Solihull, West Midlands, England, B92 7JT, United Kingdom",52.4387414,-1.8071598,Leasehold,0.5 miles,0.5 miles,
331,"Loxley Court, Baldwins Lane, Birmingham, B28 0FH",210000,Flat,2,1,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/154619909#/?channel=RES_BUY,False,True,False,B28 0FH,"Loxley Court, Baldwins Lane, Birmingham, West Midlands, England, B28 0FH,	United Kingdom",52.42095047459805,-1.8383903929671763,Freehold,0.7 miles,0.3 miles,Band: C
135,"Coldbath Road, Kings Heath, Birmingham B13",225000,Terraced,3,1,"Glovers Estate Agents, Kings Heath",https://www.rightmove.co.uk/properties/149319863#/?channel=RES_BUY,True,False,False,B13,"Coldbath Road, Springfield, Wake Green, Birmingham, West Midlands, England, B13 0AQ, United Kingdom",52.4330825,-1.8731037,Freehold,1.1 miles,0.2 miles,Band: B
90,"Brookvale Grove, Solihull",325000,Semi-Detached,3,1,"Burchell Edwards, Solihull",https://www.rightmove.co.uk/properties/151899899#/?channel=RES_BUY,True,True,False,,"Brookvale Grove, Olton, Solihull, West Midlands, England, B92 7JH, United Kingdom",52.4389659,-1.8117228,Freehold,0.3 miles,0.2 miles,Band: D
353,"Masons Way, Solihull",265000,Terraced,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154268261#/?channel=RES_BUY,True,True,False,,"Masons Way, Olton, Solihull, West Midlands, England, B92 7JE, United Kingdom",52.4409181,-1.8073605,Freehold,0.2 miles,0.2 miles,Band: C
324,"Littlemead Road, Shirley, Solihull",495000,Semi-Detached,4,2,"Sterling Homes, Birmingham",https://www.rightmove.co.uk/properties/153283946#/?channel=RES_BUY,True,True,False,,"Littlemead Road, Shirley, Solihull, Birmingham, West Midlands, England, B90 , United Kingdom",2.39688028331134,-1.8501598271600035,Freehold,0.4 miles,0.3 miles,
319,"Langley Hall Road, Solihull, B92 7HB",350000,Terraced,3,1,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/153737951#/?channel=RES_BUY,True,True,False,B92 7HB,"Langley Hall Road, Kineton Green, Solihull, West Midlands, England, B27 7AW, United Kingdom",52.4296437,-1.819594,Freehold,0.7 miles,0.2 miles,Band: C
60,"Blenheim Road, Moseley",480000,Detached,3,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/150959195#/?channel=RES_BUY,True,True,False,,"Blenheim Road, Kings Heath, Wake Green, Birmingham, West Midlands, England, B13 9SZ, United Kingdom",52.4379696,-1.8827914,Freehold,1.6 miles,0.3 miles,Band: D
165,"Douglas Road, Acocks Green",325000,End of Terrace,3,2,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/153616700#/?channel=RES_BUY,True,True,False,,"Douglas Road, Acocks Green, Tyseley, Birmingham, West Midlands, England, B27 6HW, United Kingdom",52.4524158,-1.8229612,Freehold,0.3 miles,0.1 miles,Band: B
30,"Ashdale Drive, Nr Hollywood",250000,Terraced,3,1,"Melvyn Danes, Wythall",https://www.rightmove.co.uk/properties/146414753#/?channel=RES_BUY,True,True,False,,"Ashdale Drive, Maypole, Hollywood, Birmingham, West Midlands, England, B14, United Kingdom",52.402974437344255,-1.8791687366426464,Freehold,1.2 miles,0.2 miles,Band: C
69,"Braceby Avenue, Birmingham",190000,Terraced,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/150183542#/?channel=RES_BUY,True,True,False,,"Braceby Avenue, Billesley, Yardley Wood, Birmingham, West Midlands, England, B13 0US, United Kingdom",52.4274741,-1.8668821,Freehold,0.5 miles,0.1 miles,Band: B
408,"Pailton Road, Shirley, Solihull, West Midlands, B90",159500,Apartment,2,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/151455233#/?channel=RES_BUY,False,True,False,B90,"Pailton Road, Shirley, Solihull, West Midlands, England, B90 3NZ, United Kingdom",52.4192211,-1.828235,Leasehold,1.1 miles,0.5 miles,Band: B
